id,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,level
19808,2.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,4.0,4.0,5.0,4.0,4.0,2.0,Adult,High Schooler,W,XX,Good,Yes,O,E,lzgpxyit,City_3,1.0,1.0,mfikgejo,mxkfnird,0
21863,1.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,5.0,2.0,2.0,5.0,4.0,1.0,Senior,College Grad,W,XX,Average,Yes,O,E,lzgpxyit,City_1,1.0,0.0,wxleyezf,emcorrxb,1
22187,1.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,,5.0,2.0,1.0,4.0,4.0,1.0,Young Adult,College Grad,W,XY,Average,Yes,O,E,qufhixun,City_2,1.0,0.0,vjjrobsf,oijqvulv,0
52018,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,1.0,5.0,1.0,1.0,Young Adult,High Schooler,W,XY,Good,No,O,U,oxchjgsf,City_3,0.0,0.0,,,0
10068,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,4.0,1.0,2.0,4.0,1.0,2.0,Senior,College Student,W,XY,Average,No,R,E,dqpwygqj,City_1,0.0,0.0,ldnlellj,qxajmpny,0
23838,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,2.0,5.0,2.0,2.0,Young Adult,College Student,W,XY,Average,No,R,U,fpwskwrf,City_3,2.0,0.0,,,0
16400,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,4.0,1.0,1.0,4.0,1.0,4.0,Senior,High Schooler,W,XY,Good,Yes,R,,lzgpxyit,City_1,1.0,0.0,,,1
29820,2.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,,,0.0,1.0,0.0,,4.0,1.0,1.0,5.0,2.0,2.0,Senior,College Grad,W,XX,Good,Yes,O,,lrircsnp,City_2,2.0,0.0,,,1
30334,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,4.0,4.0,4.0,2.0,Senior,College Grad,W,XX,,Yes,O,E,lzgpxyit,City_3,1.0,0.0,wxleyezf,emcorrxb,3
49431,2.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,,4.0,4.0,4.0,5.0,5.0,5.0,Senior,College Grad,W,XY,Bad,No,R,U,dqpwygqj,City_1,0.0,0.0,,,1
40494,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,3.0,1.0,4.0,Senior,College Student,W,XY,Good,No,O,E,lzgpxyit,City_3,0.0,0.0,xicduogh,qxajmpny,0
8032,3.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,,3.0,4.0,4.0,3.0,3.0,3.0,Senior,College Student,W,XX,Good,No,O,U,bhuqouqj,City_2,0.0,0.0,,,0
43287,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,,3.0,3.0,1.0,3.0,4.0,1.0,Senior,High Schooler,W,XY,,Yes,O,,bhuqouqj,City_3,1.0,0.0,,,3
40062,3.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,4.0,1.0,4.0,Young Adult,< 12 Years,H,XX,Bad,Yes,R,,lzgpxyit,City_2,1.0,2.0,,,0
11455,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,4.0,4.0,2.0,5.0,2.0,2.0,Senior,High Schooler,B,XY,Good,Yes,O,,lzgpxyit,City_2,1.0,0.0,,,2
42109,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,4.0,1.0,4.0,4.0,1.0,Senior,College Grad,W,XX,Average,Yes,O,,oxchjgsf,City_3,1.0,0.0,,,3
11097,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,4.0,2.0,4.0,4.0,2.0,2.0,Senior,College Grad,W,XX,,Yes,O,E,lrircsnp,City_2,1.0,0.0,wxleyezf,emcorrxb,0
4289,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,5.0,2.0,4.0,5.0,2.0,2.0,Senior,< 12 Years,W,XY,Good,No,R,,fpwskwrf,City_2,0.0,0.0,,,3
6271,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,4.0,3.0,4.0,4.0,2.0,5.0,Young Adult,College Student,W,XX,Bad,No,R,,oxchjgsf,City_2,0.0,1.0,,,0
15609,1.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,4.0,2.0,2.0,4.0,4.0,2.0,Senior,College Grad,W,XX,Good,Yes,O,,lrircsnp,City_1,1.0,0.0,,,1
6492,2.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,4.0,5.0,4.0,4.0,Senior,,O,XX,,No,O,,fpwskwrf,City_2,0.0,0.0,,,1
3988,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,Senior,College Student,W,XX,Good,No,R,,qufhixun,City_1,0.0,0.0,,,0
39994,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,5.0,5.0,2.0,4.0,4.0,2.0,Adult,College Grad,W,XY,Average,Yes,O,E,lrircsnp,City_1,2.0,3.0,fcxhlnwr,xtkaffoo,3
24973,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,1.0,4.0,4.0,1.0,Adult,College Grad,W,XX,Good,Yes,R,,bhuqouqj,City_3,1.0,2.0,,,0
10341,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,2.0,4.0,2.0,2.0,Young Adult,College Grad,W,XX,Good,No,R,E,lrircsnp,City_2,0.0,0.0,wlfvacwt,xtkaffoo,3
21470,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,1.0,4.0,1.0,1.0,Senior,High Schooler,W,XX,Good,No,O,,bhuqouqj,City_1,0.0,0.0,,,0
325,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,1.0,3.0,2.0,1.0,Adult,College Grad,W,XX,Average,Yes,O,,fpwskwrf,City_2,1.0,2.0,,,3
20779,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,5.0,1.0,2.0,4.0,4.0,4.0,Adult,College Student,W,XY,Good,No,O,E,lzgpxyit,City_2,0.0,1.0,vjjrobsf,rcertsgn,0
18524,2.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,1.0,2.0,5.0,2.0,2.0,Senior,High Schooler,W,XX,Good,No,R,E,kbazzjca,City_2,0.0,0.0,atmlpfrs,xqwwgdyp,1
23875,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0,2.0,1.0,5.0,1.0,1.0,Adult,College Grad,W,XX,Average,No,R,E,atmpeygn,City_2,0.0,2.0,mcubkhph,ukymxvdu,0
2723,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,4.0,4.0,1.0,5.0,2.0,1.0,Young Adult,College Grad,W,XY,Average,Yes,O,E,fpwskwrf,City_3,1.0,1.0,nduyfdeo,xtkaffoo,0
12571,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,5.0,4.0,4.0,5.0,4.0,4.0,Adult,College Grad,W,XX,Average,Yes,O,E,qufhixun,City_2,2.0,2.0,wxleyezf,emcorrxb,3
27261,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,2.0,4.0,3.0,1.0,Senior,College Student,W,XX,,No,O,,qufhixun,City_1,0.0,0.0,,,3
22832,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,4.0,4.0,4.0,4.0,2.0,2.0,Adult,College Grad,W,XX,Good,Yes,O,E,qufhixun,City_1,1.0,2.0,pxcmvdjn,xgwztkwe,0
53049,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,,5.0,4.0,4.0,1.0,1.0,2.0,Adult,High Schooler,W,XY,Good,Yes,R,E,bhuqouqj,City_1,1.0,1.0,xicduogh,qxajmpny,0
41209,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,4.0,5.0,4.0,2.0,Senior,College Student,W,XY,Good,Yes,O,,qufhixun,City_1,1.0,0.0,,,3
49824,2.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,,,0.0,0.0,0.0,,3.0,2.0,2.0,4.0,2.0,2.0,Adult,High Schooler,W,XX,Good,Yes,O,E,oxchjgsf,City_3,1.0,0.0,mfikgejo,xgwztkwe,0
23568,2.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,,5.0,2.0,2.0,5.0,2.0,1.0,Senior,High Schooler,W,XY,Average,Yes,R,E,bhuqouqj,City_2,0.0,0.0,cfqqtusy,xqwwgdyp,1
49031,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,4.0,4.0,4.0,4.0,Senior,High Schooler,W,XX,Good,No,O,,lrircsnp,City_2,1.0,0.0,,,3
33860,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,4.0,1.0,1.0,Young Adult,College Student,W,XX,Good,No,O,,lzgpxyit,City_3,1.0,3.0,,,0
22168,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,4.0,1.0,2.0,5.0,4.0,4.0,Adult,College Grad,W,XY,Average,Yes,O,E,qufhixun,City_1,2.0,0.0,wlfvacwt,xgwztkwe,1
30716,3.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,,3.0,3.0,1.0,5.0,5.0,1.0,Senior,High Schooler,B,XX,Good,Yes,R,,lzgpxyit,City_2,1.0,0.0,,,1
1087,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,,3.0,1.0,1.0,5.0,5.0,1.0,Adult,College Student,W,XX,Good,No,O,E,kbazzjca,City_3,1.0,1.0,fcxhlnwr,cmhcxjea,1
31936,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,1.0,5.0,Senior,College Student,O,XY,,No,O,,lzgpxyit,City_3,0.0,0.0,,,0
4382,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,2.0,4.0,2.0,4.0,Senior,< 12 Years,W,XX,Good,Yes,O,E,oxchjgsf,City_3,1.0,0.0,nduyfdeo,xtkaffoo,3
13322,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,4.0,4.0,2.0,4.0,4.0,1.0,Senior,College Student,W,XY,Average,Yes,O,E,oxchjgsf,City_2,1.0,0.0,wxleyezf,emcorrxb,3
10965,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,3.0,2.0,1.0,,2.0,1.0,Young Adult,High Schooler,W,XY,Good,No,O,,lzgpxyit,City_1,0.0,0.0,,,0
16449,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,4.0,2.0,2.0,5.0,4.0,4.0,Senior,College Student,B,XX,,,R,,fpwskwrf,City_2,0.0,0.0,,,1
14396,2.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,5.0,5.0,4.0,5.0,5.0,1.0,Adult,College Grad,W,XX,Average,Yes,O,,oxchjgsf,City_1,1.0,3.0,,,3
22156,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,4.0,2.0,1.0,4.0,Adult,College Student,W,XX,Average,Yes,O,,oxchjgsf,City_3,1.0,1.0,,,0
11795,3.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,Adult,,W,XY,,,,,lzgpxyit,City_3,,,,,0
12312,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,4.0,4.0,1.0,5.0,4.0,4.0,Young Adult,College Grad,H,XY,Good,No,R,E,dqpwygqj,City_2,3.0,0.0,rucpziij,tfqavkke,0
8031,3.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,,,0.0,1.0,0.0,,4.0,2.0,1.0,5.0,4.0,1.0,Adult,College Student,H,XY,Average,Yes,O,E,oxchjgsf,City_3,3.0,0.0,atmlpfrs,xqwwgdyp,1
16995,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,3.0,4.0,3.0,3.0,4.0,Senior,College Student,W,XY,Good,No,O,,kbazzjca,City_3,0.0,0.0,,,3
16899,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,5.0,4.0,1.0,3.0,3.0,1.0,Young Adult,College Grad,W,XY,Good,Yes,O,E,qufhixun,City_1,1.0,0.0,wxleyezf,emcorrxb,1
25625,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,4.0,2.0,2.0,2.0,2.0,1.0,Adult,< 12 Years,W,XY,Bad,No,O,U,lrircsnp,City_3,0.0,0.0,,,2
26040,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,2.0,5.0,4.0,4.0,Adult,College Grad,W,XX,Average,Yes,O,E,lzgpxyit,City_1,2.0,2.0,fcxhlnwr,xgwztkwe,3
33415,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,2.0,1.0,4.0,4.0,1.0,Young Adult,College Grad,O,XY,Average,Yes,O,E,lrircsnp,City_2,1.0,3.0,pxcmvdjn,xgwztkwe,3
3675,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,1.0,1.0,5.0,2.0,1.0,Adult,High Schooler,W,XY,Good,Yes,O,E,atmpeygn,City_3,1.0,0.0,atmlpfrs,uqqtjvyb,1
425,0.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,4.0,1.0,5.0,5.0,1.0,Senior,< 12 Years,W,XX,Good,Yes,O,E,bhuqouqj,City_1,1.0,0.0,atmlpfrs,xqwwgdyp,1
25550,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,3.0,2.0,1.0,5.0,2.0,1.0,Senior,College Grad,W,XY,Average,Yes,O,,mlyzmhmf,City_2,1.0,0.0,,,1
3945,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,1.0,5.0,1.0,1.0,Senior,High Schooler,W,XX,Good,No,R,,bhuqouqj,City_3,0.0,0.0,,,3
14220,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,4.0,4.0,2.0,4.0,Young Adult,College Grad,W,XY,Average,Yes,O,E,fpwskwrf,City_1,1.0,0.0,wxleyezf,emcorrxb,0
16564,3.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,4.0,2.0,2.0,5.0,2.0,1.0,Senior,College Grad,W,XX,Average,No,O,,lzgpxyit,City_3,1.0,0.0,,,1
21265,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,3.0,4.0,4.0,4.0,4.0,4.0,Adult,College Grad,W,XY,Average,Yes,O,E,qufhixun,City_1,1.0,2.0,wxleyezf,emcorrxb,0
41997,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,4.0,4.0,2.0,1.0,Senior,College Student,W,XX,Good,Yes,O,E,mlyzmhmf,City_3,2.0,0.0,wxleyezf,emcorrxb,0
26063,2.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,,4.0,2.0,2.0,5.0,2.0,1.0,Adult,High Schooler,W,XX,Bad,No,R,E,qufhixun,City_3,0.0,3.0,xqicxuve,uqqtjvyb,1
1107,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,,,0.0,0.0,0.0,,4.0,1.0,1.0,4.0,1.0,1.0,Senior,College Grad,W,XY,Good,Yes,O,,lrircsnp,City_2,1.0,0.0,,,1
1621,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,,,,,5.0,1.0,4.0,4.0,1.0,1.0,Young Adult,,W,XY,,,,,fpwskwrf,City_2,0.0,0.0,,,3
40493,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,4.0,5.0,2.0,1.0,Senior,College Grad,W,XX,Average,No,O,E,qufhixun,City_1,0.0,0.0,wxleyezf,xtkaffoo,1
5070,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,2.0,1.0,4.0,1.0,1.0,Senior,High Schooler,W,XX,Good,No,O,,lrircsnp,City_3,0.0,0.0,,,1
12754,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,4.0,5.0,4.0,5.0,5.0,1.0,Young Adult,College Student,W,XX,,No,O,,oxchjgsf,City_1,2.0,1.0,,,0
24269,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,2.0,4.0,1.0,5.0,Adult,College Student,W,XX,Good,Yes,O,U,lzgpxyit,City_3,2.0,1.0,,,0
6760,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,,4.0,1.0,1.0,5.0,4.0,2.0,Adult,High Schooler,W,XX,,Yes,O,U,qufhixun,City_1,1.0,0.0,,,1
16928,3.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,4.0,4.0,4.0,4.0,4.0,Young Adult,High Schooler,W,XX,Bad,Yes,R,E,atmpeygn,City_1,1.0,0.0,pxcmvdjn,xgwztkwe,1
25892,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,3.0,3.0,1.0,3.0,2.0,1.0,Senior,College Grad,W,XY,Good,No,R,E,bhuqouqj,City_2,1.0,0.0,wlfvacwt,xgwztkwe,0
8645,2.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,4.0,2.0,,,,,Senior,,W,XY,,,,,qufhixun,City_3,1.0,0.0,,,0
46916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,5.0,1.0,1.0,Senior,< 12 Years,W,XY,,Yes,,,lzgpxyit,City_1,0.0,0.0,,,1
16559,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,,,0.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,4.0,1.0,Young Adult,College Student,W,XX,Average,Yes,O,E,atmpeygn,City_1,1.0,1.0,fcxhlnwr,cmhcxjea,1
39969,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,4.0,1.0,1.0,5.0,3.0,1.0,Senior,College Student,W,XX,Good,No,O,,oxchjgsf,City_3,0.0,0.0,,,1
